site_id,site_name,country,city,region,therapeutic_areas,indication_experience,historical_patients_per_month,avg_activation_days,data_quality_score,active_trials,beds,has_biomarker_testing,has_pediatric_capability,principal_investigator,last_active_date
SITE-0022,Oakmont Translational Center,France,Marseille,Western Europe,infectious disease|neurology|hematology,heart failure,1.29,3,0.74,3,543,False,false,Sienna Reyes,05/05/2025
SITE-0023,Summit Translational Center,South Korea,Seoul,Asia Pacific,infectious disease,chronic kidney disease|type 2 diabetes,,166,0.73,3,755,0,no,Yara Dupont,11/08/2024
SITE-0024,Meridian Clinical Center,Argentina,Buenos Aires,Latin America,respiratory,multiple sclerosis|Parkinson's disease,,108,0.9,8,592,1,yes,Theo Johansson,2019-05-13
SITE-0025,Silverleaf Translational Center,Canada,Vancouver,North America,cardiology|endocrinology,asthma|heart failure|type 2 diabetes|Parkinson's disease,3.11,205,0.58,4,260,True,yes,Owen Yamamoto,09/06/2020
SITE-0026,Pinecrest Teaching Hospital,France,Paris,Western Europe,cardiology|endocrinology,rheumatoid arthritis|ulcerative colitis,1.75,151,0.72,0,609,False,no,Elena Tanaka,09/13/2018
SITE-0027,Northbridge Medical Center,Singapore,Singapore,Asia Pacific,neurology|hematology|immunology,ulcerative colitis|asthma|non-small cell lung cancer,2.74,87,0.95,0,105,0,no,Aiko Andersen,03/30/2023
SITE-0028,Ashford Medical Center,Mexico,Guadalajara,Latin America,neurology|hematology,psoriasis|ulcerative colitis|heart failure,3.06,109,0.88,0,378,false,true,Omar Okada,2018-12-02
SITE-0029,Bayview Cancer Institute,US,Atlanta,North America,cardiology,multiple sclerosis|asthma,2.74,100,0.89,2,640,1,true,Sofia Ibrahim,03/20/2023
SITE-0030,Highland Research Institute,Germany,Munich,Western Europe,respiratory|neurology|endocrinology,rheumatoid arthritis|melanoma,2.82,71,0.9,0,375,1,no,Sienna Tanaka,05/20/2021
SITE-0031,Redwood Translational Center,South Korea,Seoul,Asia Pacific,hematology|oncology,psoriasis|Crohn's disease|asthma|multiple sclerosis,1.85,114,0.75,4,350,false,true,Diego Andersen,11/27/2024
SITE-0032,Bayview Cancer Institute,Mexico,Monterrey,Latin America,respiratory|cardiology|oncology,psoriasis|multiple sclerosis|asthma|type 2 diabetes,1.55,116,0.79,8,215,true,false,Hana Silva,2024-09-07
SITE-0033,Highland Health Campus,US,Portland,North America,hematology|neurology,rheumatoid arthritis,1.32,107,0.76,8,372,False,yes,Clara Andersen,06/08/2021
SITE-0034,Elmhurst Translational Center,United Kingdom,London,Western Europe,neurology,rheumatoid arthritis|Parkinson's disease|breast cancer,3.81,94,0.67,8,631,True,true,Hassan Ibrahim,06/05/2020
SITE-0035,Fairhaven Cancer Institute,Australia,Melbourne,Asia Pacific,cardiology,Non Small Cell Lung Cancer|chronic kidney disease|breast cancer,2.62,71,0.76,7,368,false,true,Diego Costa,02/20/2018
SITE-0036,Ironwood Research Institute,Brazil,Rio de Janeiro,Latin America,immunology|infectious disease,multiple sclerosis,0.77,122,0.8,6,640,1,false,Lukas Dupont,2018-12-15
SITE-0037,Pinecrest Cancer Institute,Canada,Montreal,North America,respiratory|cardiology|infectious disease,melanoma,3.85,98,0.84,2,265,false,true,Sofia Voss,2025-01-06
SITE-0038,Fairhaven University Hospital,Italy,Rome,Western Europe,oncology|immunology,Parkinson's disease|heart failure|asthma,0.47,112,0.74,8,250,0,false,Diego Bergstrom,01/04/2025
SITE-0039,Harbor Teaching Hospital,Australia,Melbourne,Asia Pacific,infectious disease|neurology|oncology,Parkinson's disease|heart failure|ulcerative colitis|chronic kidney disease,2.1,65,0.87,4,46,true,false,Sienna Almeida,2024-09-15
SITE-0040,Stonegate Translational Center,Brazil,Brasilia,Latin America,oncology|respiratory,asthma|breast cancer,2.68,91,0.98,7,376,False,yes,Owen Nguyen,2024-07-25
SITE-0041,Highland Translational Center,United States,Detroit,North America,hematology|cardiology|endocrinology,chronic kidney disease|breast cancer|NSCLC|asthma,1.43,3,0.73,3,550,True,no,Omar Andersen,2018-01-05
SITE-0042,Stonegate Research Institute,France,Lyon,Western Europe,cardiology|hematology|neurology,rheumatoid arthritis|non-small cell lung cancer|Crohn's disease|melanoma,2.9,48,0.65,1,492,true,false,Yara Ibrahim,2024-03-12
SITE-0043,Silverleaf Teaching Hospital,South Korea,Busan,Asia Pacific,hematology|immunology,breast cancer|multiple sclerosis|ulcerative colitis|type 2 diabetes,3.7,79,0.7,8,293,true,yes,Hana Ibrahim,2018-10-13
SITE-0044,Fairhaven Teaching Hospital,Argentina,Cordoba,Latin America,hematology,psoriasis|chronic kidney disease|breast cancer|Crohn's disease,1.63,93,0.65,6,64,True,no,Pavel Dupont,2020-09-05
SITE-0045,Maplewood Clinical Center,US,Phoenix,North America,cardiology,rheumatoid arthritis|asthma|chronic kidney disease,2.2,81,0.58,4,366,1,no,Omar Reyes,2022-08-07
SITE-0046,Elmhurst Research Institute,Italy,Rome,Western Europe,hematology|respiratory,melanoma,0.46,118,0.74,1,798,0,true,Theo Patel,2020-07-20
SITE-0047,Lakeside Research Institute,Japan,Tokyo,Asia Pacific,oncology|cardiology,psoriasis|ulcerative colitis|multiple sclerosis,1.13,91,0.82,6,654,0,false,Yara Almeida,11/28/2019
SITE-0048,Summit Translational Center,Mexico,Monterrey,Latin America,hematology|cardiology,chronic kidney disease,1.97,184,0.97,4,674,False,yes,Theo Ibrahim,10/10/2019
SITE-0049,Cedar Medical Center,Mexico,Mexico City,Latin America,respiratory,melanoma|heart failure|Parkinson's disease,0.28,146,0.95,7,313,false,yes,Nora Kowalski,2021-01-29
SITE-0050,Elmhurst Teaching Hospital,Germany,Hamburg,Western Europe,oncology|cardiology|neurology,melanoma,1.59,120,0.63,2,572,True,yes,Sofia Santos,2021-08-31
SITE-0051,Westfield Research Institute,Mexico,Monterrey,Latin America,immunology|neurology,multiple sclerosis,3.07,146,0.9,0,290,1,true,Theo Tanaka,2024-04-01
SITE-0052,Maplewood Teaching Hospital,Singapore,Singapore,Asia Pacific,neurology,non-small cell lung cancer|melanoma|breast cancer|psoriasis,,163,0.6,0,58,True,no,Jonah Nguyen,05/22/2021
SITE-0053,Harbor Health Campus,Spain,Barcelona,Western Europe,respiratory|infectious disease,ulcerative colitis|Crohn's disease,0.58,149,0.65,7,261,True,true,Sienna Tanaka,2021-02-19
SITE-0054,Northbridge University Hospital,Japan,Osaka,Asia Pacific,neurology|oncology,rheumatoid arthritis|Crohn's disease|type 2 diabetes|melanoma,,130,0.58,8,232,1,false,Nora Keller,2020-09-24
SITE-0055,Fairhaven Health Campus,United States,Miami,North America,infectious disease,rheumatoid arthritis|Crohn's disease,3.49,136,0.56,4,73,false,no,Lukas Nguyen,2020-09-01
SITE-0056,Maplewood Medical Center,Mexico,Guadalajara,Latin America,immunology|neurology|infectious disease,melanoma|non-small cell lung cancer,3.65,122,0.58,7,431,False,true,Yara Andersen,02/20/2023
SITE-0057,Brighton Translational Center,United States,Miami,North America,cardiology,melanoma|Crohn's disease|chronic kidney disease,2.28,197,0.77,6,121,0,true,Omar Yamamoto,2023-12-14
SITE-0058,Silverleaf Health Campus,Spain,Barcelona,Western Europe,respiratory,asthma|ulcerative colitis|Parkinson's disease,2.97,125,0.97,7,88,true,true,Priya Silva,06/17/2025
SITE-0059,Brighton Cancer Institute,Australia,Brisbane,Asia Pacific,endocrinology,ulcerative colitis,1.54,153,0.7,8,237,false,no,Nora Nguyen,2018-07-30
SITE-0060,Lakeside Cancer Institute,Japan,Osaka,Asia Pacific,neurology|respiratory|hematology,melanoma,3.73,113,0.86,4,367,True,true,Sofia Bergstrom,2018-04-29
SITE-0004,Clearwater Research Institute,Mexico,Monterrey East,Latin America,immunology|infectious disease|endocrinology,breast cancer|Parkinson's disease,0.89,114,0.85,0,254,true,yes,Hana Voss,03/06/2025
SITE-0016,Brookhaven University Hospital,Mexico,Monterrey,Latin America,endocrinology,Crohn's disease|chronic kidney disease,3.34,109,0.91,1,23,True,false,Ingrid Andersen,07/28/2018
SITE-0034,Westfield Cancer Institute,United Kingdom,London,Western Europe,neurology,rheumatoid arthritis|Parkinson's disease|breast cancer,3.56,94,0.67,8,631,True,true,Kenji Johansson,06/05/2020
